file  region                                  year  ratio
     <chr> <chr>                                  <int>  <dbl>
   1 at00h [111]AT111 - Mittelburgenland           2000  0.579
   2 at00h [112]AT112 - Nordburgenland             2000  0.883
   3 at00h [113]AT113 - Südburgenland              2000  0.567
   4 at00h [121]AT121 - Mostviertel-Eisenwurzen    2000  0.565
   5 at00h [122]AT122 - Niederösterreich-Süd       2000 NA    
   6 at00h [123]AT123 - Sankt Pölten               2000 NA    
   7 at00h [124]AT124 - Waldviertel                2000 NA    
   8 at00h [125]AT125 - Weinviertel                2000  0.492
   9 at00h [126]AT126 - Wiener Umland/Nordteil     2000  0.455
  10 at00h [127]AT127 - Wiener Umland/Südteil      2000  0.523
  11 at00h [131]AT131 - Wien                       2000 NA    
  12 at00h [211]AT211 - Klagenfurt-Villach         2000  0.706
  13 at00h [212]AT212 - Oberkärnten                2000  0.726
  14 at00h [213]AT213 - Unterkärnten               2000  0.564
  15 at00h [221]AT221 - Graz                       2000  0.598
  16 at00h [222]AT222 - Liezen                     2000 NA    
  17 at00h [223]AT223 - Östliche Obersteiermark    2000  0.636
  18 at00h [224]AT224 - Oststeiermark              2000  1.38 
  19 at00h [225]AT225 - West- und Südsteiermark    2000  0.826
  20 at00h [226]AT226 - Westliche Obersteiermark   2000  0.670
  21 at00h [311]AT311 - Innviertel                 2000  0.975
  22 at00h [312]AT312 - Linz-Wels                  2000  0.787
  23 at00h [313]AT313 - Mühlviertel                2000  0.696
  24 at00h [314]AT314 - Steyr-Kirchdorf            2000  1.00 
  25 at00h [315]AT315 - Traunviertel               2000  0.573
  26 at00h [321]AT321 - Lungau                     2000  1.44 
  27 at00h [322]AT322 - Pinzgau-Pongau             2000  0.779
  28 at00h [323]AT323 - vSalzburg und Umgebung     2000  0.699
  29 at00h [331]AT331 - Außerfern                  2000 NA    
  30 at00h [332]AT332 - Innsbruck                  2000  0.879
  31 at00h [333]AT333 - Osttirol                   2000  1.48 
  32 at00h [334]AT334 - Tiroler Oberland           2000  0.931
  33 at00h [335]AT335 - Tiroler Unterland          2000  0.532
  34 at00h [341]AT341 - Bludenz-Bregenzer Wald     2000  0.627
  35 at00h [342]AT342 - Rheintal-Bodenseegebiet    2000  0.779
  36 at00h <NA>                                    2000  0.424
 468 be16h [1]Brussels Capital Region              2016  0.578
 469 be16h [2]Flemish Region                       2016  0.595
 470 be16h [3]Walloon Region                       2016  0.642
 471 be17h [1]Brussels Capital Region              2017  0.633
 472 be17h [2]Flemish Region                       2017  0.612
 473 be17h [3]Walloon Region                       2017  0.636
 474 be88h [1]Brussels Capital Region              1988  0.840
 475 be88h [2]Flemish Region                       1988  0.690
 476 be88h [3]Walloon Region                       1988  0.676
 477 be92h [1]Brussels Capital Region              1992  0.706
 478 be92h [2]Flemish Region                       1992  0.651
 479 be92h [3]Walloon Region                       1992  0.667
 480 be95h [1]Brussels Capital Region              1995 NA    
 481 be95h [2]Flemish Region                       1995 NA    
 482 be95h [3]Walloon Region                       1995 NA    
 483 be97h [1]Brussels Capital Region              1997  0.563
 484 be97h [2]Flemish Region                       1997  0.593
 485 be97h [3]Walloon Region                       1997  0.612
 486 de00h [10]DEA - North Rhine-Westphalia        2000  0.674
 487 de00h [11]DEB - Rhineland-Palatinate          2000  0.656
 488 de00h [12]DEC - Saarland                      2000  0.737
 489 de00h [13]DED - Saxony                        2000  0.707
 490 de00h [14]DEE - Saxony-Anhalt                 2000  0.757
 491 de00h [15]DEF - Schleswig-Holstein            2000  0.533
 492 de00h [16]DEG - Thuringia                     2000  0.784
 493 de00h [1]DE1 - Baden-Wuerttemberg             2000  0.717
 494 de00h [2]DE2 - Bavaria                        2000  0.717
 495 de00h [3]DE3 - Berlin                         2000  0.790
 496 de00h [4]DE4 - Brandenburg                    2000  0.757
 497 de00h [5]DE5 - Bremen                         2000  0.940
 498 de00h [6]DE6 - Hamburg                        2000  0.561
 499 de00h [7]DE7 - Hesse                          2000  0.508
 500 de00h [8]DE8 - Mecklenburg-Western Pomerania  2000  0.646
 501 de00h [9]DE9 - Lower Saxony                   2000  0.655
 502 de01h [10]DEA - North Rhine-Westphalia        2001  0.634
 503 de01h [11]DEB - Rhineland-Palatinate          2001  0.636
 504 de01h [12]DEC - Saarland                      2001  0.707
 505 de01h [13]DED - Saxony                        2001  0.790
 506 de01h [14]DEE - Saxony-Anhalt                 2001  0.700
 507 de01h [15]DEF - Schleswig-Holstein            2001  0.583
 508 de01h [16]DEG - Thuringia                     2001  0.749
 509 de01h [1]DE1 - Baden-Wuerttemberg             2001  0.659
 510 de01h [2]DE2 - Bavaria                        2001  0.614
 511 de01h [3]DE3 - Berlin                         2001  0.833
 512 de01h [4]DE4 - Brandenburg                    2001  0.744
 513 de01h [5]DE5 - Bremen                         2001  0.570
 514 de01h [6]DE6 - Hamburg                        2001  0.609
 515 de01h [7]DE7 - Hesse                          2001  0.520
 516 de01h [8]DE8 - Mecklenburg-Western Pomerania  2001  0.688
 517 de01h [9]DE9 - Lower Saxony                   2001  0.595
 518 de02h [10]DEA - North Rhine-Westphalia        2002  0.615
 519 de02h [11]DEB - Rhineland-Palatinate          2002  0.636
 520 de02h [12]DEC - Saarland                      2002  0.692
 521 de02h [13]DED - Saxony                        2002  0.810
 522 de02h [14]DEE - Saxony-Anhalt                 2002  0.755
 523 de02h [15]DEF - Schleswig-Holstein            2002  0.618
 524 de02h [16]DEG - Thuringia                     2002  0.715
 525 de02h [1]DE1 - Baden-Wuerttemberg             2002  0.685
 526 de02h [2]DE2 - Bavaria                        2002  0.625
 527 de02h [3]DE3 - Berlin                         2002  0.766
 528 de02h [4]DE4 - Brandenburg                    2002  0.702
 529 de02h [5]DE5 - Bremen                         2002  0.580
 530 de02h [6]DE6 - Hamburg                        2002  0.631
 531 de02h [7]DE7 - Hesse                          2002  0.608
 532 de02h [8]DE8 - Mecklenburg-Western Pomerania  2002  0.722
 533 de02h [9]DE9 - Lower Saxony                   2002  0.629
 534 de03h [10]DEA - North Rhine-Westphalia        2003  0.629
 535 de03h [11]DEB - Rhineland-Palatinate          2003  0.677
 536 de03h [12]DEC - Saarland                      2003  0.724
 537 de03h [13]DED - Saxony                        2003  0.787
 538 de03h [14]DEE - Saxony-Anhalt                 2003  0.801
 539 de03h [15]DEF - Schleswig-Holstein            2003  0.591
 540 de03h [16]DEG - Thuringia                     2003  0.802
 541 de03h [1]DE1 - Baden-Wuerttemberg             2003  0.677
 542 de03h [2]DE2 - Bavaria                        2003  0.679
 543 de03h [3]DE3 - Berlin                         2003  0.795
 544 de03h [4]DE4 - Brandenburg                    2003  0.708
 545 de03h [5]DE5 - Bremen                         2003  0.551
 546 de03h [6]DE6 - Hamburg                        2003  0.525
 547 de03h [7]DE7 - Hesse                          2003  0.578
 548 de03h [8]DE8 - Mecklenburg-Western Pomerania  2003  0.695
 549 de03h [9]DE9 - Lower Saxony                   2003  0.614
 550 de04h [10]DEA - North Rhine-Westphalia        2004  0.603
 551 de04h [11]DEB - Rhineland-Palatinate          2004  0.652
 552 de04h [12]DEC - Saarland                      2004  0.730
 553 de04h [13]DED - Saxony                        2004  0.774
 554 de04h [14]DEE - Saxony-Anhalt                 2004  0.736
 555 de04h [15]DEF - Schleswig-Holstein            2004  0.542
 556 de04h [16]DEG - Thuringia                     2004  0.742
 557 de04h [1]DE1 - Baden-Wuerttemberg             2004  0.659
 558 de04h [2]DE2 - Bavaria                        2004  0.655
 559 de04h [3]DE3 - Berlin                         2004  0.755
 560 de04h [4]DE4 - Brandenburg                    2004  0.660
 561 de04h [5]DE5 - Bremen                         2004  0.608
 562 de04h [6]DE6 - Hamburg                        2004  0.721
 563 de04h [7]DE7 - Hesse                          2004  0.581
 564 de04h [8]DE8 - Mecklenburg-Western Pomerania  2004  0.698
 565 de04h [9]DE9 - Lower Saxony                   2004  0.626
 566 de05h [10]DEA - North Rhine-Westphalia        2005  0.579
 567 de05h [11]DEB - Rhineland-Palatinate          2005  0.614
 568 de05h [12]DEC - Saarland                      2005  0.646
 569 de05h [13]DED - Saxony                        2005  0.861
 570 de05h [14]DEE - Saxony-Anhalt                 2005  0.736
 571 de05h [15]DEF - Schleswig-Holstein            2005  0.532
 572 de05h [16]DEG - Thuringia                     2005  0.686
 573 de05h [1]DE1 - Baden-Wuerttemberg             2005  0.672
 574 de05h [2]DE2 - Bavaria                        2005  0.649
 575 de05h [3]DE3 - Berlin                         2005  0.685
 576 de05h [4]DE4 - Brandenburg                    2005  0.699
 577 de05h [5]DE5 - Bremen                         2005  0.546
 578 de05h [6]DE6 - Hamburg                        2005  0.619
 579 de05h [7]DE7 - Hesse                          2005  0.520
 580 de05h [8]DE8 - Mecklenburg-Western Pomerania  2005  0.748
 581 de05h [9]DE9 - Lower Saxony                   2005  0.570
 582 de06h [10]DEA - North Rhine-Westphalia        2006  0.575
 583 de06h [11]DEB - Rhineland-Palatinate          2006  0.644
 584 de06h [12]DEC - Saarland                      2006  0.816
 585 de06h [13]DED - Saxony                        2006  0.817
 586 de06h [14]DEE - Saxony-Anhalt                 2006  0.775
 587 de06h [15]DEF - Schleswig-Holstein            2006  0.525
 588 de06h [16]DEG - Thuringia                     2006  0.747
 589 de06h [1]DE1 - Baden-Wuerttemberg             2006  0.639
 590 de06h [2]DE2 - Bavaria                        2006  0.641
 591 de06h [3]DE3 - Berlin                         2006  0.782
 592 de06h [4]DE4 - Brandenburg                    2006  0.716
 593 de06h [5]DE5 - Bremen                         2006  0.552
 594 de06h [6]DE6 - Hamburg                        2006  0.674
 595 de06h [7]DE7 - Hesse                          2006  0.538
 596 de06h [8]DE8 - Mecklenburg-Western Pomerania  2006  0.726
 597 de06h [9]DE9 - Lower Saxony                   2006  0.591
 598 de07h [10]DEA - North Rhine-Westphalia        2007  0.579
 599 de07h [11]DEB - Rhineland-Palatinate          2007  0.653
 600 de07h [12]DEC - Saarland                      2007  0.762
 601 de07h [13]DED - Saxony                        2007  0.838
 602 de07h [14]DEE - Saxony-Anhalt                 2007  0.920
 603 de07h [15]DEF - Schleswig-Holstein            2007  0.568
 604 de07h [16]DEG - Thuringia                     2007  0.743
 605 de07h [1]DE1 - Baden-Wuerttemberg             2007  0.614
 606 de07h [2]DE2 - Bavaria                        2007  0.632
 607 de07h [3]DE3 - Berlin                         2007  0.693
 608 de07h [4]DE4 - Brandenburg                    2007  0.666
 609 de07h [5]DE5 - Bremen                         2007  0.584
 610 de07h [6]DE6 - Hamburg                        2007  0.692
 611 de07h [7]DE7 - Hesse                          2007  0.541
 612 de07h [8]DE8 - Mecklenburg-Western Pomerania  2007  0.650
 613 de07h [9]DE9 - Lower Saxony                   2007  0.581
 614 de08h [10]DEA - North Rhine-Westphalia        2008  0.566
 615 de08h [11]DEB - Rhineland-Palatinate          2008  0.695
 616 de08h [12]DEC - Saarland                      2008  0.713
 617 de08h [13]DED - Saxony                        2008  0.736
 618 de08h [14]DEE - Saxony-Anhalt                 2008  0.868
 619 de08h [15]DEF - Schleswig-Holstein            2008  0.611
 620 de08h [16]DEG - Thuringia                     2008  0.724
 621 de08h [1]DE1 - Baden-Wuerttemberg             2008  0.632
 622 de08h [2]DE2 - Bavaria                        2008  0.644
 623 de08h [3]DE3 - Berlin                         2008  0.769
 624 de08h [4]DE4 - Brandenburg                    2008  0.631
 625 de08h [5]DE5 - Bremen                         2008  0.666
 626 de08h [6]DE6 - Hamburg                        2008  0.574
 627 de08h [7]DE7 - Hesse                          2008  0.533
 628 de08h [8]DE8 - Mecklenburg-Western Pomerania  2008  0.547
 629 de08h [9]DE9 - Lower Saxony                   2008  0.562
 630 de09h [10]DEA - North Rhine-Westphalia        2009  0.580
 631 de09h [11]DEB - Rhineland-Palatinate          2009  0.698
 632 de09h [12]DEC - Saarland                      2009  0.780
 633 de09h [13]DED - Saxony                        2009  0.762
 634 de09h [14]DEE - Saxony-Anhalt                 2009  0.589
 635 de09h [15]DEF - Schleswig-Holstein            2009  0.615
 636 de09h [16]DEG - Thuringia                     2009  0.619
 637 de09h [1]DE1 - Baden-Wuerttemberg             2009  0.662
 638 de09h [2]DE2 - Bavaria                        2009  0.668
 639 de09h [3]DE3 - Berlin                         2009  0.701
 640 de09h [4]DE4 - Brandenburg                    2009  0.655
 641 de09h [5]DE5 - Bremen                         2009  0.599
 642 de09h [6]DE6 - Hamburg                        2009  0.541
 643 de09h [7]DE7 - Hesse                          2009  0.511
 644 de09h [8]DE8 - Mecklenburg-Western Pomerania  2009  0.518
 645 de09h [9]DE9 - Lower Saxony                   2009  0.568
 646 de10h [10]DEA - North Rhine-Westphalia        2010  0.588
 647 de10h [11]DEB - Rhineland-Palatinate          2010  0.744
 648 de10h [12]DEC - Saarland                      2010  0.793
 649 de10h [13]DED - Saxony                        2010  0.760
 650 de10h [14]DEE - Saxony-Anhalt                 2010  0.656
 651 de10h [15]DEF - Schleswig-Holstein            2010  0.590
 652 de10h [16]DEG - Thuringia                     2010  0.587
 653 de10h [1]DE1 - Baden-Wuerttemberg             2010  0.636
 654 de10h [2]DE2 - Bavaria                        2010  0.641
 655 de10h [3]DE3 - Berlin                         2010  0.723
 656 de10h [4]DE4 - Brandenburg                    2010  0.638
 657 de10h [5]DE5 - Bremen                         2010  0.678
 658 de10h [6]DE6 - Hamburg                        2010  0.557
 659 de10h [7]DE7 - Hesse                          2010  0.547
 660 de10h [8]DE8 - Mecklenburg-Western Pomerania  2010  0.667
 661 de10h [9]DE9 - Lower Saxony                   2010  0.603
 662 de11h [10]DEA - North Rhine-Westphalia        2011  0.616
 663 de11h [11]DEB - Rhineland-Palatinate          2011  0.687
 664 de11h [12]DEC - Saarland                      2011  0.876
 665 de11h [13]DED - Saxony                        2011  0.787
 666 de11h [14]DEE - Saxony-Anhalt                 2011  0.573
 667 de11h [15]DEF - Schleswig-Holstein            2011  0.624
 668 de11h [16]DEG - Thuringia                     2011  0.596
 669 de11h [1]DE1 - Baden-Wuerttemberg             2011  0.665
 670 de11h [2]DE2 - Bavaria                        2011  0.636
 671 de11h [3]DE3 - Berlin                         2011  0.703
 672 de11h [4]DE4 - Brandenburg                    2011  0.497
 673 de11h [5]DE5 - Bremen                         2011  0.563
 674 de11h [6]DE6 - Hamburg                        2011  0.531
 675 de11h [7]DE7 - Hesse                          2011  0.531
 676 de11h [8]DE8 - Mecklenburg-Western Pomerania  2011  0.652
 677 de11h [9]DE9 - Lower Saxony                   2011  0.623
 678 de12h [10]DEA - North Rhine-Westphalia        2012  0.611
 679 de12h [11]DEB - Rhineland-Palatinate          2012  0.696
 680 de12h [12]DEC - Saarland                      2012  0.806
 681 de12h [13]DED - Saxony                        2012  0.767
 682 de12h [14]DEE - Saxony-Anhalt                 2012  0.683
 683 de12h [15]DEF - Schleswig-Holstein            2012  0.634
 684 de12h [16]DEG - Thuringia                     2012  0.573
 685 de12h [1]DE1 - Baden-Wuerttemberg             2012  0.642
 686 de12h [2]DE2 - Bavaria                        2012  0.596
 687 de12h [3]DE3 - Berlin                         2012  0.689
 688 de12h [4]DE4 - Brandenburg                    2012  0.509
 689 de12h [5]DE5 - Bremen                         2012  0.660
 690 de12h [6]DE6 - Hamburg                        2012  0.590
 691 de12h [7]DE7 - Hesse                          2012  0.551
 692 de12h [8]DE8 - Mecklenburg-Western Pomerania  2012  0.606
 693 de12h [9]DE9 - Lower Saxony                   2012  0.618
 694 de13h [10]DEA - North Rhine-Westphalia        2013  0.603
 695 de13h [11]DEB - Rhineland-Palatinate          2013  0.708
 696 de13h [12]DEC - Saarland                      2013  0.602
 697 de13h [13]DED - Saxony                        2013  0.798
 698 de13h [14]DEE - Saxony-Anhalt                 2013  0.701
 699 de13h [15]DEF - Schleswig-Holstein            2013  0.738
 700 de13h [16]DEG - Thuringia                     2013  0.522
 701 de13h [1]DE1 - Baden-Wuerttemberg             2013  0.659
 702 de13h [2]DE2 - Bavaria                        2013  0.590
 703 de13h [3]DE3 - Berlin                         2013  0.706
 704 de13h [4]DE4 - Brandenburg                    2013  0.517
 705 de13h [5]DE5 - Bremen                         2013  1.08 
 706 de13h [6]DE6 - Hamburg                        2013  0.590
 707 de13h [7]DE7 - Hesse                          2013  0.576
 708 de13h [8]DE8 - Mecklenburg-Western Pomerania  2013  0.648
 709 de13h [9]DE9 - Lower Saxony                   2013  0.635
 710 de14h [10]DEA - North Rhine-Westphalia        2014  0.580
 711 de14h [11]DEB - Rhineland-Palatinate          2014  0.608
 712 de14h [12]DEC - Saarland                      2014  0.672
 713 de14h [13]DED - Saxony                        2014  0.895
 714 de14h [14]DEE - Saxony-Anhalt                 2014  0.632
 715 de14h [15]DEF - Schleswig-Holstein            2014  0.720
 716 de14h [16]DEG - Thuringia                     2014  0.577
 717 de14h [1]DE1 - Baden-Wuerttemberg             2014  0.673
 718 de14h [2]DE2 - Bavaria                        2014  0.592
 719 de14h [3]DE3 - Berlin                         2014  0.696
 720 de14h [4]DE4 - Brandenburg                    2014  0.511
 721 de14h [5]DE5 - Bremen                         2014  0.910
 722 de14h [6]DE6 - Hamburg                        2014  0.478
 723 de14h [7]DE7 - Hesse                          2014  0.504
 724 de14h [8]DE8 - Mecklenburg-Western Pomerania  2014  0.626
 725 de14h [9]DE9 - Lower Saxony                   2014  0.608
 726 de15h [10]DEA - North Rhine-Westphalia        2015  0.622
 727 de15h [11]DEB - Rhineland-Palatinate          2015  0.626
 728 de15h [12]DEC - Saarland                      2015  0.613
 729 de15h [13]DED - Saxony                        2015  0.841
 730 de15h [14]DEE - Saxony-Anhalt                 2015  0.666
 731 de15h [15]DEF - Schleswig-Holstein            2015  0.720
 732 de15h [16]DEG - Thuringia                     2015  0.626
 733 de15h [1]DE1 - Baden-Wuerttemberg             2015  0.660
 734 de15h [2]DE2 - Bavaria                        2015  0.581
 735 de15h [3]DE3 - Berlin                         2015  0.867
 736 de15h [4]DE4 - Brandenburg                    2015  0.591
 737 de15h [5]DE5 - Bremen                         2015  0.814
 738 de15h [6]DE6 - Hamburg                        2015  0.634
 739 de15h [7]DE7 - Hesse                          2015  0.522
 740 de15h [8]DE8 - Mecklenburg-Western Pomerania  2015  0.683
 741 de15h [9]DE9 - Lower Saxony                   2015  0.626
 742 de16h [10]DEA - North Rhine-Westphalia        2016  0.608
 743 de16h [11]DEB - Rhineland-Palatinate          2016  0.625
 744 de16h [12]DEC - Saarland                      2016  0.659
 745 de16h [13]DED - Saxony                        2016  0.841
 746 de16h [14]DEE - Saxony-Anhalt                 2016  0.679
 747 de16h [15]DEF - Schleswig-Holstein            2016  0.625
 748 de16h [16]DEG - Thuringia                     2016  0.655
 749 de16h [1]DE1 - Baden-Wuerttemberg             2016  0.637
 750 de16h [2]DE2 - Bavaria                        2016  0.604
 751 de16h [3]DE3 - Berlin                         2016  0.809
 752 de16h [4]DE4 - Brandenburg                    2016  0.520
 753 de16h [5]DE5 - Bremen                         2016  0.791
 754 de16h [6]DE6 - Hamburg                        2016  0.550
 755 de16h [7]DE7 - Hesse                          2016  0.562
 756 de16h [8]DE8 - Mecklenburg-Western Pomerania  2016  0.684
 757 de16h [9]DE9 - Lower Saxony                   2016  0.598
 758 de17h [10]DEA - North Rhine-Westphalia        2017  0.612
 759 de17h [11]DEB - Rhineland-Palatinate          2017  0.632
 760 de17h [12]DEC - Saarland                      2017  0.632
 761 de17h [13]DED - Saxony                        2017  0.796
 762 de17h [14]DEE - Saxony-Anhalt                 2017  0.750
 763 de17h [15]DEF - Schleswig-Holstein            2017  0.581
 764 de17h [16]DEG - Thuringia                     2017  0.729
 765 de17h [1]DE1 - Baden-Wuerttemberg             2017  0.670
 766 de17h [2]DE2 - Bavaria                        2017  0.591
 767 de17h [3]DE3 - Berlin                         2017  0.785
 768 de17h [4]DE4 - Brandenburg                    2017  0.520
 769 de17h [5]DE5 - Bremen                         2017  0.592
 770 de17h [6]DE6 - Hamburg                        2017  0.611
 771 de17h [7]DE7 - Hesse                          2017  0.576
 772 de17h [8]DE8 - Mecklenburg-Western Pomerania  2017  0.633
 773 de17h [9]DE9 - Lower Saxony                   2017  0.586
 774 de18h [10]DEA - North Rhine-Westphalia        2018  0.619
 775 de18h [11]DEB - Rhineland-Palatinate          2018  0.590
 776 de18h [12]DEC - Saarland                      2018  0.540
 777 de18h [13]DED - Saxony                        2018  0.782
 778 de18h [14]DEE - Saxony-Anhalt                 2018  0.655
 779 de18h [15]DEF - Schleswig-Holstein            2018  0.614
 780 de18h [16]DEG - Thuringia                     2018  0.650
 781 de18h [1]DE1 - Baden-Wuerttemberg             2018  0.645
 782 de18h [2]DE2 - Bavaria                        2018  0.615
 783 de18h [3]DE3 - Berlin                         2018  0.807
 784 de18h [4]DE4 - Brandenburg                    2018  0.575
 785 de18h [5]DE5 - Bremen                         2018  0.820
 786 de18h [6]DE6 - Hamburg                        2018  0.605
 787 de18h [7]DE7 - Hesse                          2018  0.591
 788 de18h [8]DE8 - Mecklenburg-Western Pomerania  2018  0.742
 789 de18h [9]DE9 - Lower Saxony                   2018  0.627
 790 de18h <NA>                                    2018  0.562
 791 de19h [10]DEA - North Rhine-Westphalia        2019  0.614
 792 de19h [11]DEB - Rhineland-Palatinate          2019  0.626
 793 de19h [12]DEC - Saarland                      2019  0.524
 794 de19h [13]DED - Saxony                        2019  0.855
 795 de19h [14]DEE - Saxony-Anhalt                 2019  0.778
 796 de19h [15]DEF - Schleswig-Holstein            2019  0.585
 797 de19h [16]DEG - Thuringia                     2019  0.671
 798 de19h [1]DE1 - Baden-Wuerttemberg             2019  0.668
 799 de19h [2]DE2 - Bavaria                        2019  0.680
 800 de19h [3]DE3 - Berlin                         2019  0.858
 801 de19h [4]DE4 - Brandenburg                    2019  0.710
 802 de19h [5]DE5 - Bremen                         2019  0.713
 803 de19h [6]DE6 - Hamburg                        2019  0.586
 804 de19h [7]DE7 - Hesse                          2019  0.578
 805 de19h [8]DE8 - Mecklenburg-Western Pomerania  2019  0.691
 806 de19h [9]DE9 - Lower Saxony                   2019  0.660
 807 de89h [10]DEA - North Rhine-Westphalia        1989  0.610
 808 de89h [11]DEB - Rhineland-Palatinate          1989  0.501
 809 de89h [12]DEC - Saarland                      1989  0.438
 810 de89h [15]DEF - Schleswig-Holstein            1989  0.622
 811 de89h [1]DE1 - Baden-Wuerttemberg             1989  0.680
 812 de89h [2]DE2 - Bavaria                        1989  0.721
 813 de89h [3]DE3 - Berlin                         1989  0.764
 814 de89h [5]DE5 - Bremen                         1989  0.366
 815 de89h [6]DE6 - Hamburg                        1989  0.751
 816 de89h [7]DE7 - Hesse                          1989  0.710
 817 de89h [9]DE9 - Lower Saxony                   1989  0.665
 818 de90h [10]DEA - North Rhine-Westphalia        1990  0.617
 819 de90h [11]DEB - Rhineland-Palatinate          1990  0.726
 820 de90h [12]DEC - Saarland                      1990  0.627
 821 de90h [15]DEF - Schleswig-Holstein            1990  0.601
 822 de90h [1]DE1 - Baden-Wuerttemberg             1990  0.698
 823 de90h [2]DE2 - Bavaria                        1990  0.756
 824 de90h [3]DE3 - Berlin                         1990  0.723
 825 de90h [5]DE5 - Bremen                         1990  0.329
 826 de90h [6]DE6 - Hamburg                        1990  0.683
 827 de90h [7]DE7 - Hesse                          1990  0.684
 828 de90h [9]DE9 - Lower Saxony                   1990  0.643
 829 de91h [10]DEA - North Rhine-Westphalia        1991  0.637
 830 de91h [11]DEB - Rhineland-Palatinate          1991  0.716
 831 de91h [12]DEC - Saarland                      1991  0.751
 832 de91h [13]DED - Saxony                        1991  0.658
 833 de91h [14]DEE - Saxony-Anhalt                 1991  0.732
 834 de91h [15]DEF - Schleswig-Holstein            1991  0.659
 835 de91h [16]DEG - Thuringia                     1991  0.753
 836 de91h [1]DE1 - Baden-Wuerttemberg             1991  0.622
 837 de91h [2]DE2 - Bavaria                        1991  0.755
 838 de91h [3]DE3 - Berlin                         1991  0.817
 839 de91h [4]DE4 - Brandenburg                    1991  0.726
 840 de91h [5]DE5 - Bremen                         1991  0.514
 841 de91h [6]DE6 - Hamburg                        1991  0.676
 842 de91h [7]DE7 - Hesse                          1991  0.682
 843 de91h [8]DE8 - Mecklenburg-Western Pomerania  1991  0.741
 844 de91h [9]DE9 - Lower Saxony                   1991  0.609
 845 de91h <NA>                                    1991  0.497
 846 de92h [10]DEA - North Rhine-Westphalia        1992  0.605
 847 de92h [11]DEB - Rhineland-Palatinate          1992  0.607
 848 de92h [12]DEC - Saarland                      1992  0.754
 849 de92h [13]DED - Saxony                        1992  0.655
 850 de92h [14]DEE - Saxony-Anhalt                 1992  0.693
 851 de92h [15]DEF - Schleswig-Holstein            1992  0.621
 852 de92h [16]DEG - Thuringia                     1992  0.773
 853 de92h [1]DE1 - Baden-Wuerttemberg             1992  0.665
 854 de92h [2]DE2 - Bavaria                        1992  0.721
 855 de92h [3]DE3 - Berlin                         1992  0.823
 856 de92h [4]DE4 - Brandenburg                    1992  0.731
 857 de92h [5]DE5 - Bremen                         1992  0.546
 858 de92h [6]DE6 - Hamburg                        1992  0.794
 859 de92h [7]DE7 - Hesse                          1992  0.616
 860 de92h [8]DE8 - Mecklenburg-Western Pomerania  1992  0.654
 861 de92h [9]DE9 - Lower Saxony                   1992  0.580
 862 de93h [10]DEA - North Rhine-Westphalia        1993  0.592
 863 de93h [11]DEB - Rhineland-Palatinate          1993  0.648
 864 de93h [12]DEC - Saarland                      1993  0.692
 865 de93h [13]DED - Saxony                        1993  0.659
 866 de93h [14]DEE - Saxony-Anhalt                 1993  0.619
 867 de93h [15]DEF - Schleswig-Holstein            1993  0.691
 868 de93h [16]DEG - Thuringia                     1993  0.681
 869 de93h [1]DE1 - Baden-Wuerttemberg             1993  0.676
 870 de93h [2]DE2 - Bavaria                        1993  0.722
 871 de93h [3]DE3 - Berlin                         1993  0.733
 872 de93h [4]DE4 - Brandenburg                    1993  0.690
 873 de93h [5]DE5 - Bremen                         1993  0.496
 874 de93h [6]DE6 - Hamburg                        1993  0.804
 875 de93h [7]DE7 - Hesse                          1993  0.619
 876 de93h [8]DE8 - Mecklenburg-Western Pomerania  1993  0.650
 877 de93h [9]DE9 - Lower Saxony                   1993  0.570
 878 de94h [10]DEA - North Rhine-Westphalia        1994  0.617
 879 de94h [11]DEB - Rhineland-Palatinate          1994  0.627
 880 de94h [12]DEC - Saarland                      1994  0.550
 881 de94h [13]DED - Saxony                        1994  0.644
 882 de94h [14]DEE - Saxony-Anhalt                 1994  0.674
 883 de94h [15]DEF - Schleswig-Holstein            1994  0.711
 884 de94h [16]DEG - Thuringia                     1994  0.747
 885 de94h [1]DE1 - Baden-Wuerttemberg             1994  0.651
 886 de94h [2]DE2 - Bavaria                        1994  0.656
 887 de94h [3]DE3 - Berlin                         1994  0.763
 888 de94h [4]DE4 - Brandenburg                    1994  0.727
 889 de94h [5]DE5 - Bremen                         1994  0.655
 890 de94h [6]DE6 - Hamburg                        1994  0.837
 891 de94h [7]DE7 - Hesse                          1994  0.611
 892 de94h [8]DE8 - Mecklenburg-Western Pomerania  1994  0.652
 893 de94h [9]DE9 - Lower Saxony                   1994  0.608
 894 de95h [10]DEA - North Rhine-Westphalia        1995  0.648
 895 de95h [11]DEB - Rhineland-Palatinate          1995  0.641
 896 de95h [12]DEC - Saarland                      1995  0.651
 897 de95h [13]DED - Saxony                        1995  0.675
 898 de95h [14]DEE - Saxony-Anhalt                 1995  0.681
 899 de95h [15]DEF - Schleswig-Holstein            1995  0.660
 900 de95h [16]DEG - Thuringia                     1995  0.757
 901 de95h [1]DE1 - Baden-Wuerttemberg             1995  0.680
 902 de95h [2]DE2 - Bavaria                        1995  0.658
 903 de95h [3]DE3 - Berlin                         1995  0.733
 904 de95h [4]DE4 - Brandenburg                    1995  0.747
 905 de95h [5]DE5 - Bremen                         1995  0.514
 906 de95h [6]DE6 - Hamburg                        1995  0.760
 907 de95h [7]DE7 - Hesse                          1995  0.602
