    file  region                                  year unemployment immig
 422 at99h [335]AT335 - Tiroler Unterland          1999            0.315 0.0179 
 423 at99h [341]AT341 - Bludenz-Bregenzer Wald     1999            0.346 0.0449 
 424 at99h [342]AT342 - Rheintal-Bodenseegebiet    1999            0.356 0.152  
 425 at99h <NA>                                    1999            0.167 0.0208 
 426 be00h [1]Brussels Capital Region              2000            0.319 0.170  
 427 be00h [2]Flemish Region                       2000            0.323 0.0393 
 428 be00h [3]Walloon Region                       2000            0.368 0.0765 
 429 be03h [1]Brussels Capital Region              2003            0.443 0.346  
 430 be03h [2]Flemish Region                       2003            0.379 0.0630 
 431 be03h [3]Walloon Region                       2003            0.430 0.0989 
 432 be04h [1]Brussels Capital Region              2004            0.432 0.325  
 433 be04h [2]Flemish Region                       2004            0.392 0.0546 
 434 be04h [3]Walloon Region                       2004            0.430 0.106  
 435 be05h [1]Brussels Capital Region              2005            0.402 0.327  
 436 be05h [2]Flemish Region                       2005            0.372 0.0598 
 437 be05h [3]Walloon Region                       2005            0.411 0.115  
 438 be06h [1]Brussels Capital Region              2006            0.402 0.307  
 439 be06h [2]Flemish Region                       2006            0.372 0.0606 
 440 be06h [3]Walloon Region                       2006            0.410 0.109  
 441 be07h [1]Brussels Capital Region              2007            0.402 0.308  
 442 be07h [2]Flemish Region                       2007            0.383 0.0586 
 443 be07h [3]Walloon Region                       2007            0.413 0.113  
 444 be08h [1]Brussels Capital Region              2008            0.417 0.360  
 445 be08h [2]Flemish Region                       2008            0.385 0.0639 
 446 be08h [3]Walloon Region                       2008            0.408 0.120  
 447 be09h [1]Brussels Capital Region              2009            0.421 0.349  
 448 be09h [2]Flemish Region                       2009            0.386 0.0714 
 449 be09h [3]Walloon Region                       2009            0.413 0.121  
 450 be10h [1]Brussels Capital Region              2010            0.425 0.409  
 451 be10h [2]Flemish Region                       2010            0.393 0.0804 
 452 be10h [3]Walloon Region                       2010            0.415 0.135  
 453 be11h [1]Brussels Capital Region              2011            0.422 0.412  
 454 be11h [2]Flemish Region                       2011            0.404 0.0894 
 455 be11h [3]Walloon Region                       2011            0.433 0.127  
 456 be12h [1]Brussels Capital Region              2012            0.436 0.428  
 457 be12h [2]Flemish Region                       2012            0.398 0.0898 
 458 be12h [3]Walloon Region                       2012            0.433 0.125  
 459 be13h [1]Brussels Capital Region              2013            0.439 0.424  
 460 be13h [2]Flemish Region                       2013            0.397 0.0853 
 461 be13h [3]Walloon Region                       2013            0.434 0.121  
 462 be14h [1]Brussels Capital Region              2014            0.432 0.428  
 463 be14h [2]Flemish Region                       2014            0.401 0.0961 
 464 be14h [3]Walloon Region                       2014            0.445 0.128  
 465 be15h [1]Brussels Capital Region              2015            0.423 0.445  
 466 be15h [2]Flemish Region                       2015            0.395 0.0893 
 467 be15h [3]Walloon Region                       2015            0.453 0.135  
 468 be16h [1]Brussels Capital Region              2016            0.410 0.421  
 469 be16h [2]Flemish Region                       2016            0.397 0.0883 
 470 be16h [3]Walloon Region                       2016            0.461 0.139  
 471 be17h [1]Brussels Capital Region              2017            0.419 0.432  
 472 be17h [2]Flemish Region                       2017            0.390 0.0897 
 473 be17h [3]Walloon Region                       2017            0.457 0.146  
 474 be88h [1]Brussels Capital Region              1988            0.305 0.0322 
 475 be88h [2]Flemish Region                       1988            0.391 0.00766
 476 be88h [3]Walloon Region                       1988            0.464 0.0312 
 477 be92h [1]Brussels Capital Region              1992            0.340 0      
 478 be92h [2]Flemish Region                       1992            0.372 0      
 479 be92h [3]Walloon Region                       1992            0.460 0      
 480 be95h [1]Brussels Capital Region              1995            0.381 0.191  
 481 be95h [2]Flemish Region                       1995            0.349 0.0489 
 482 be95h [3]Walloon Region                       1995            0.389 0.0913 
 483 be97h [1]Brussels Capital Region              1997            0.414 0.0824 
 484 be97h [2]Flemish Region                       1997            0.405 0.0203 
 485 be97h [3]Walloon Region                       1997            0.463 0.0571 
 486 de00h [10]DEA - North Rhine-Westphalia        2000            0.327 0.196  
 487 de00h [11]DEB - Rhineland-Palatinate          2000            0.314 0.172  
 488 de00h [12]DEC - Saarland                      2000            0.390 0.146  
 489 de00h [13]DED - Saxony                        2000            0.367 0.0155 
 490 de00h [14]DEE - Saxony-Anhalt                 2000            0.389 0.0270 
 491 de00h [15]DEF - Schleswig-Holstein            2000            0.322 0.0929 
 492 de00h [16]DEG - Thuringia                     2000            0.376 0.0159 
 493 de00h [1]DE1 - Baden-Wuerttemberg             2000            0.287 0.293  
 494 de00h [2]DE2 - Bavaria                        2000            0.298 0.141  
 495 de00h [3]DE3 - Berlin                         2000            0.322 0.114  
 496 de00h [4]DE4 - Brandenburg                    2000            0.374 0.0152 
 497 de00h [5]DE5 - Bremen                         2000            0.352 0.189  
 498 de00h [6]DE6 - Hamburg                        2000            0.332 0.121  
 499 de00h [7]DE7 - Hesse                          2000            0.317 0.229  
 500 de00h [8]DE8 - Mecklenburg-Western Pomerania  2000            0.330 0.0264 
 501 de00h [9]DE9 - Lower Saxony                   2000            0.323 0.131  
 502 de01h [10]DEA - North Rhine-Westphalia        2001            0.322 0.181  
 503 de01h [11]DEB - Rhineland-Palatinate          2001            0.311 0.161  
 504 de01h [12]DEC - Saarland                      2001            0.373 0.149  
 505 de01h [13]DED - Saxony                        2001            0.357 0.0161 
 506 de01h [14]DEE - Saxony-Anhalt                 2001            0.392 0.0278 
 507 de01h [15]DEF - Schleswig-Holstein            2001            0.309 0.0980 
 508 de01h [16]DEG - Thuringia                     2001            0.386 0.0158 
 509 de01h [1]DE1 - Baden-Wuerttemberg             2001            0.282 0.267  
 510 de01h [2]DE2 - Bavaria                        2001            0.285 0.130  
 511 de01h [3]DE3 - Berlin                         2001            0.323 0.118  
 512 de01h [4]DE4 - Brandenburg                    2001            0.394 0.0136 
 513 de01h [5]DE5 - Bremen                         2001            0.324 0.134  
 514 de01h [6]DE6 - Hamburg                        2001            0.298 0.0905 
 515 de01h [7]DE7 - Hesse                          2001            0.287 0.205  
 516 de01h [8]DE8 - Mecklenburg-Western Pomerania  2001            0.335 0.0262 
 517 de01h [9]DE9 - Lower Saxony                   2001            0.321 0.117  
 518 de02h [10]DEA - North Rhine-Westphalia        2002            0.332 0.176  
 519 de02h [11]DEB - Rhineland-Palatinate          2002            0.330 0.150  
 520 de02h [12]DEC - Saarland                      2002            0.395 0.143  
 521 de02h [13]DED - Saxony                        2002            0.382 0.0157 
 522 de02h [14]DEE - Saxony-Anhalt                 2002            0.411 0.0252 
 523 de02h [15]DEF - Schleswig-Holstein            2002            0.315 0.0992 
 524 de02h [16]DEG - Thuringia                     2002            0.382 0.0146 
 525 de02h [1]DE1 - Baden-Wuerttemberg             2002            0.289 0.259  
 526 de02h [2]DE2 - Bavaria                        2002            0.291 0.135  
 527 de02h [3]DE3 - Berlin                         2002            0.352 0.112  
 528 de02h [4]DE4 - Brandenburg                    2002            0.382 0.0137 
 529 de02h [5]DE5 - Bremen                         2002            0.367 0.143  
 530 de02h [6]DE6 - Hamburg                        2002            0.302 0.111  
 531 de02h [7]DE7 - Hesse                          2002            0.286 0.192  
 532 de02h [8]DE8 - Mecklenburg-Western Pomerania  2002            0.376 0.0263 
 533 de02h [9]DE9 - Lower Saxony                   2002            0.318 0.119  
 534 de03h [10]DEA - North Rhine-Westphalia        2003            0.335 0.172  
 535 de03h [11]DEB - Rhineland-Palatinate          2003            0.320 0.152  
 536 de03h [12]DEC - Saarland                      2003            0.401 0.151  
 537 de03h [13]DED - Saxony                        2003            0.373 0.0173 
 538 de03h [14]DEE - Saxony-Anhalt                 2003            0.402 0.0230 
 539 de03h [15]DEF - Schleswig-Holstein            2003            0.346 0.0927 
 540 de03h [16]DEG - Thuringia                     2003            0.389 0.0147 
 541 de03h [1]DE1 - Baden-Wuerttemberg             2003            0.296 0.257  
 542 de03h [2]DE2 - Bavaria                        2003            0.300 0.132  
 543 de03h [3]DE3 - Berlin                         2003            0.337 0.104  
 544 de03h [4]DE4 - Brandenburg                    2003            0.401 0.0142 
 545 de03h [5]DE5 - Bremen                         2003            0.351 0.137  
 546 de03h [6]DE6 - Hamburg                        2003            0.335 0.102  
 547 de03h [7]DE7 - Hesse                          2003            0.291 0.188  
 548 de03h [8]DE8 - Mecklenburg-Western Pomerania  2003            0.373 0.0296 
 549 de03h [9]DE9 - Lower Saxony                   2003            0.323 0.117  
 550 de04h [10]DEA - North Rhine-Westphalia        2004            0.338 0.173  
 551 de04h [11]DEB - Rhineland-Palatinate          2004            0.315 0.149  
 552 de04h [12]DEC - Saarland                      2004            0.385 0.155  
 553 de04h [13]DED - Saxony                        2004            0.382 0.0183 
 554 de04h [14]DEE - Saxony-Anhalt                 2004            0.405 0.0221 
 555 de04h [15]DEF - Schleswig-Holstein            2004            0.342 0.0943 
 556 de04h [16]DEG - Thuringia                     2004            0.414 0.0154 
 557 de04h [1]DE1 - Baden-Wuerttemberg             2004            0.313 0.254  
 558 de04h [2]DE2 - Bavaria                        2004            0.294 0.126  
 559 de04h [3]DE3 - Berlin                         2004            0.349 0.1    
 560 de04h [4]DE4 - Brandenburg                    2004            0.395 0.0128 
 561 de04h [5]DE5 - Bremen                         2004            0.392 0.0966 
 562 de04h [6]DE6 - Hamburg                        2004            0.356 0.109  
 563 de04h [7]DE7 - Hesse                          2004            0.289 0.186  
 564 de04h [8]DE8 - Mecklenburg-Western Pomerania  2004            0.392 0.0259 
 565 de04h [9]DE9 - Lower Saxony                   2004            0.334 0.116  
 566 de05h [10]DEA - North Rhine-Westphalia        2005            0.349 0.163  
 567 de05h [11]DEB - Rhineland-Palatinate          2005            0.320 0.137  
 568 de05h [12]DEC - Saarland                      2005            0.340 0.164  
 569 de05h [13]DED - Saxony                        2005            0.390 0.0185 
 570 de05h [14]DEE - Saxony-Anhalt                 2005            0.406 0.0310 
 571 de05h [15]DEF - Schleswig-Holstein            2005            0.341 0.0813 
 572 de05h [16]DEG - Thuringia                     2005            0.400 0.0142 
 573 de05h [1]DE1 - Baden-Wuerttemberg             2005            0.319 0.230  
 574 de05h [2]DE2 - Bavaria                        2005            0.303 0.118  
 575 de05h [3]DE3 - Berlin                         2005            0.342 0.106  
 576 de05h [4]DE4 - Brandenburg                    2005            0.383 0.0167 
 577 de05h [5]DE5 - Bremen                         2005            0.4   0.08   
 578 de05h [6]DE6 - Hamburg                        2005            0.382 0.112  
 579 de05h [7]DE7 - Hesse                          2005            0.300 0.165  
 580 de05h [8]DE8 - Mecklenburg-Western Pomerania  2005            0.422 0.0193 
 581 de05h [9]DE9 - Lower Saxony                   2005            0.339 0.107  
 582 de06h [10]DEA - North Rhine-Westphalia        2006            0.350 0.155  
 583 de06h [11]DEB - Rhineland-Palatinate          2006            0.335 0.138  
 584 de06h [12]DEC - Saarland                      2006            0.355 0.148  
 585 de06h [13]DED - Saxony                        2006            0.384 0.0180 
 586 de06h [14]DEE - Saxony-Anhalt                 2006            0.413 0.0180 
 587 de06h [15]DEF - Schleswig-Holstein            2006            0.382 0.0771 
 588 de06h [16]DEG - Thuringia                     2006            0.404 0.0150 
 589 de06h [1]DE1 - Baden-Wuerttemberg             2006            0.329 0.224  
 590 de06h [2]DE2 - Bavaria                        2006            0.311 0.119  
 591 de06h [3]DE3 - Berlin                         2006            0.354 0.103  
 592 de06h [4]DE4 - Brandenburg                    2006            0.418 0.0159 
 593 de06h [5]DE5 - Bremen                         2006            0.380 0.0838 
 594 de06h [6]DE6 - Hamburg                        2006            0.371 0.112  
 595 de06h [7]DE7 - Hesse                          2006            0.311 0.155  
 596 de06h [8]DE8 - Mecklenburg-Western Pomerania  2006            0.386 0.0129 
 597 de06h [9]DE9 - Lower Saxony                   2006            0.342 0.101  
 598 de07h [10]DEA - North Rhine-Westphalia        2007            0.346 0.147  
 599 de07h [11]DEB - Rhineland-Palatinate          2007            0.358 0.143  
 600 de07h [12]DEC - Saarland                      2007            0.348 0.133  
 601 de07h [13]DED - Saxony                        2007            0.364 0.0182 
 602 de07h [14]DEE - Saxony-Anhalt                 2007            0.379 0.0143 
 603 de07h [15]DEF - Schleswig-Holstein            2007            0.376 0.0815 
 604 de07h [16]DEG - Thuringia                     2007            0.404 0.0157 
 605 de07h [1]DE1 - Baden-Wuerttemberg             2007            0.316 0.215  
 606 de07h [2]DE2 - Bavaria                        2007            0.311 0.116  
 607 de07h [3]DE3 - Berlin                         2007            0.359 0.0961 
 608 de07h [4]DE4 - Brandenburg                    2007            0.430 0.0166 
 609 de07h [5]DE5 - Bremen                         2007            0.379 0.0592 
 610 de07h [6]DE6 - Hamburg                        2007            0.382 0.108  
 611 de07h [7]DE7 - Hesse                          2007            0.308 0.153  
 612 de07h [8]DE8 - Mecklenburg-Western Pomerania  2007            0.410 0.00847
 613 de07h [9]DE9 - Lower Saxony                   2007            0.353 0.0863 
 614 de08h [10]DEA - North Rhine-Westphalia        2008            0.352 0.140  
 615 de08h [11]DEB - Rhineland-Palatinate          2008            0.361 0.142  
 616 de08h [12]DEC - Saarland                      2008            0.353 0.141  
 617 de08h [13]DED - Saxony                        2008            0.371 0.0191 
 618 de08h [14]DEE - Saxony-Anhalt                 2008            0.395 0.0129 
 619 de08h [15]DEF - Schleswig-Holstein            2008            0.399 0.0798 
 620 de08h [16]DEG - Thuringia                     2008            0.403 0.0125 
 621 de08h [1]DE1 - Baden-Wuerttemberg             2008            0.318 0.194  
 622 de08h [2]DE2 - Bavaria                        2008            0.320 0.111  
 623 de08h [3]DE3 - Berlin                         2008            0.360 0.0990 
 624 de08h [4]DE4 - Brandenburg                    2008            0.419 0.0191 
 625 de08h [5]DE5 - Bremen                         2008            0.401 0.0395 
 626 de08h [6]DE6 - Hamburg                        2008            0.369 0.0678 
 627 de08h [7]DE7 - Hesse                          2008            0.311 0.147  
 628 de08h [8]DE8 - Mecklenburg-Western Pomerania  2008            0.388 0.00529
 629 de08h [9]DE9 - Lower Saxony                   2008            0.353 0.0844 
 630 de09h [10]DEA - North Rhine-Westphalia        2009            0.289 0.171  
 631 de09h [11]DEB - Rhineland-Palatinate          2009            0.265 0.136  
 632 de09h [12]DEC - Saarland                      2009            0.320 0.115  
 633 de09h [13]DED - Saxony                        2009            0.302 0.0222 
 634 de09h [14]DEE - Saxony-Anhalt                 2009            0.316 0.0195 
 635 de09h [15]DEF - Schleswig-Holstein            2009            0.290 0.0905 
 636 de09h [16]DEG - Thuringia                     2009            0.314 0.0140 
 637 de09h [1]DE1 - Baden-Wuerttemberg             2009            0.251 0.165  
 638 de09h [2]DE2 - Bavaria                        2009            0.254 0.114  
 639 de09h [3]DE3 - Berlin                         2009            0.303 0.126  
 640 de09h [4]DE4 - Brandenburg                    2009            0.347 0.0240 
 641 de09h [5]DE5 - Bremen                         2009            0.323 0.0885 
 642 de09h [6]DE6 - Hamburg                        2009            0.288 0.131  
 643 de09h [7]DE7 - Hesse                          2009            0.264 0.175  
 644 de09h [8]DE8 - Mecklenburg-Western Pomerania  2009            0.303 0.0181 
 645 de09h [9]DE9 - Lower Saxony                   2009            0.278 0.0955 
 646 de10h [10]DEA - North Rhine-Westphalia        2010            0.282 0.152  
 647 de10h [11]DEB - Rhineland-Palatinate          2010            0.268 0.124  
 648 de10h [12]DEC - Saarland                      2010            0.305 0.130  
 649 de10h [13]DED - Saxony                        2010            0.297 0.0235 
 650 de10h [14]DEE - Saxony-Anhalt                 2010            0.316 0.0209 
 651 de10h [15]DEF - Schleswig-Holstein            2010            0.280 0.0860 
 652 de10h [16]DEG - Thuringia                     2010            0.308 0.0147 
 653 de10h [1]DE1 - Baden-Wuerttemberg             2010            0.247 0.143  
 654 de10h [2]DE2 - Bavaria                        2010            0.254 0.100  
 655 de10h [3]DE3 - Berlin                         2010            0.307 0.0994 
 656 de10h [4]DE4 - Brandenburg                    2010            0.332 0.0284 
 657 de10h [5]DE5 - Bremen                         2010            0.306 0.126  
 658 de10h [6]DE6 - Hamburg                        2010            0.306 0.105  
 659 de10h [7]DE7 - Hesse                          2010            0.252 0.151  
 660 de10h [8]DE8 - Mecklenburg-Western Pomerania  2010            0.331 0.0135 
 661 de10h [9]DE9 - Lower Saxony                   2010            0.278 0.0917 
 662 de11h [10]DEA - North Rhine-Westphalia        2011            0.277 0.151  
 663 de11h [11]DEB - Rhineland-Palatinate          2011            0.285 0.114  
 664 de11h [12]DEC - Saarland                      2011            0.275 0.136  
 665 de11h [13]DED - Saxony                        2011            0.297 0.0226 
 666 de11h [14]DEE - Saxony-Anhalt                 2011            0.320 0.0214 
 667 de11h [15]DEF - Schleswig-Holstein            2011            0.272 0.0826 
 668 de11h [16]DEG - Thuringia                     2011            0.328 0.0137 
 669 de11h [1]DE1 - Baden-Wuerttemberg             2011            0.248 0.140  
 670 de11h [2]DE2 - Bavaria                        2011            0.256 0.109  
 671 de11h [3]DE3 - Berlin                         2011            0.306 0.0915 
 672 de11h [4]DE4 - Brandenburg                    2011            0.339 0.0290 
 673 de11h [5]DE5 - Bremen                         2011            0.297 0.121  
 674 de11h [6]DE6 - Hamburg                        2011            0.304 0.116  
 675 de11h [7]DE7 - Hesse                          2011            0.263 0.146  
 676 de11h [8]DE8 - Mecklenburg-Western Pomerania  2011            0.315 0.0214 
 677 de11h [9]DE9 - Lower Saxony                   2011            0.283 0.0934 
 678 de12h [10]DEA - North Rhine-Westphalia        2012            0.262 0.255  
 679 de12h [11]DEB - Rhineland-Palatinate          2012            0.255 0.223  
 680 de12h [12]DEC - Saarland                      2012            0.263 0.297  
 681 de12h [13]DED - Saxony                        2012            0.282 0.0436 
 682 de12h [14]DEE - Saxony-Anhalt                 2012            0.315 0.0806 
 683 de12h [15]DEF - Schleswig-Holstein            2012            0.273 0.180  
 684 de12h [16]DEG - Thuringia                     2012            0.305 0.0438 
 685 de12h [1]DE1 - Baden-Wuerttemberg             2012            0.228 0.251  
 686 de12h [2]DE2 - Bavaria                        2012            0.244 0.212  
 687 de12h [3]DE3 - Berlin                         2012            0.289 0.187  
 688 de12h [4]DE4 - Brandenburg                    2012            0.334 0.0961 
 689 de12h [5]DE5 - Bremen                         2012            0.286 0.286  
 690 de12h [6]DE6 - Hamburg                        2012            0.263 0.274  
 691 de12h [7]DE7 - Hesse                          2012            0.246 0.262  
 692 de12h [8]DE8 - Mecklenburg-Western Pomerania  2012            0.314 0.0367 
 693 de12h [9]DE9 - Lower Saxony                   2012            0.277 0.183  
 694 de13h [10]DEA - North Rhine-Westphalia        2013            0.270 0.235  
 695 de13h [11]DEB - Rhineland-Palatinate          2013            0.264 0.214  
 696 de13h [12]DEC - Saarland                      2013            0.331 0.287  
 697 de13h [13]DED - Saxony                        2013            0.286 0.0404 
 698 de13h [14]DEE - Saxony-Anhalt                 2013            0.327 0.0590 
 699 de13h [15]DEF - Schleswig-Holstein            2013            0.286 0.177  
 700 de13h [16]DEG - Thuringia                     2013            0.311 0.0420 
 701 de13h [1]DE1 - Baden-Wuerttemberg             2013            0.246 0.227  
 702 de13h [2]DE2 - Bavaria                        2013            0.250 0.192  
 703 de13h [3]DE3 - Berlin                         2013            0.307 0.141  
 704 de13h [4]DE4 - Brandenburg                    2013            0.349 0.0883 
 705 de13h [5]DE5 - Bremen                         2013            0.323 0.275  
 706 de13h [6]DE6 - Hamburg                        2013            0.269 0.236  
 707 de13h [7]DE7 - Hesse                          2013            0.257 0.231  
 708 de13h [8]DE8 - Mecklenburg-Western Pomerania  2013            0.319 0.0283 
 709 de13h [9]DE9 - Lower Saxony                   2013            0.285 0.167  
 710 de14h [10]DEA - North Rhine-Westphalia        2014            0.284 0.277  
 711 de14h [11]DEB - Rhineland-Palatinate          2014            0.291 0.266  
 712 de14h [12]DEC - Saarland                      2014            0.330 0.290  
 713 de14h [13]DED - Saxony                        2014            0.298 0.0473 
 714 de14h [14]DEE - Saxony-Anhalt                 2014            0.338 0.0593 
 715 de14h [15]DEF - Schleswig-Holstein            2014            0.287 0.167  
 716 de14h [16]DEG - Thuringia                     2014            0.315 0.0891 
 717 de14h [1]DE1 - Baden-Wuerttemberg             2014            0.237 0.267  
 718 de14h [2]DE2 - Bavaria                        2014            0.244 0.232  
 719 de14h [3]DE3 - Berlin                         2014            0.293 0.194  
 720 de14h [4]DE4 - Brandenburg                    2014            0.350 0.103  
 721 de14h [5]DE5 - Bremen                         2014            0.312 0.283  
 722 de14h [6]DE6 - Hamburg                        2014            0.274 0.271  
 723 de14h [7]DE7 - Hesse                          2014            0.246 0.278  
 724 de14h [8]DE8 - Mecklenburg-Western Pomerania  2014            0.330 0.0296 
 725 de14h [9]DE9 - Lower Saxony                   2014            0.284 0.219  
 726 de15h [10]DEA - North Rhine-Westphalia        2015            0.285 0.250  
 727 de15h [11]DEB - Rhineland-Palatinate          2015            0.294 0.249  
 728 de15h [12]DEC - Saarland                      2015            0.347 0.248  
 729 de15h [13]DED - Saxony                        2015            0.304 0.0388 
 730 de15h [14]DEE - Saxony-Anhalt                 2015            0.327 0.0568 
 731 de15h [15]DEF - Schleswig-Holstein            2015            0.287 0.153  
 732 de15h [16]DEG - Thuringia                     2015            0.312 0.0791 
 733 de15h [1]DE1 - Baden-Wuerttemberg             2015            0.244 0.239  
 734 de15h [2]DE2 - Bavaria                        2015            0.261 0.209  
 735 de15h [3]DE3 - Berlin                         2015            0.308 0.170  
 736 de15h [4]DE4 - Brandenburg                    2015            0.358 0.0945 
 737 de15h [5]DE5 - Bremen                         2015            0.329 0.304  
 738 de15h [6]DE6 - Hamburg                        2015            0.279 0.250  
 739 de15h [7]DE7 - Hesse                          2015            0.277 0.249  
 740 de15h [8]DE8 - Mecklenburg-Western Pomerania  2015            0.329 0.0309 
 741 de15h [9]DE9 - Lower Saxony                   2015            0.294 0.196  
 742 de16h [10]DEA - North Rhine-Westphalia        2016            0.299 0.317  
 743 de16h [11]DEB - Rhineland-Palatinate          2016            0.293 0.304  
 744 de16h [12]DEC - Saarland                      2016            0.369 0.541  
 745 de16h [13]DED - Saxony                        2016            0.309 0.109  
 746 de16h [14]DEE - Saxony-Anhalt                 2016            0.313 0.119  
 747 de16h [15]DEF - Schleswig-Holstein            2016            0.292 0.297  
 748 de16h [16]DEG - Thuringia                     2016            0.300 0.147  
 749 de16h [1]DE1 - Baden-Wuerttemberg             2016            0.253 0.329  
 750 de16h [2]DE2 - Bavaria                        2016            0.262 0.273  
 751 de16h [3]DE3 - Berlin                         2016            0.309 0.268  
 752 de16h [4]DE4 - Brandenburg                    2016            0.357 0.241  
 753 de16h [5]DE5 - Bremen                         2016            0.324 0.379  
 754 de16h [6]DE6 - Hamburg                        2016            0.301 0.277  
 755 de16h [7]DE7 - Hesse                          2016            0.287 0.329  
 756 de16h [8]DE8 - Mecklenburg-Western Pomerania  2016            0.350 0.150  
 757 de16h [9]DE9 - Lower Saxony                   2016            0.296 0.286  
 758 de17h [10]DEA - North Rhine-Westphalia        2017            0.288 0.383  
 759 de17h [11]DEB - Rhineland-Palatinate          2017            0.275 0.368  
 760 de17h [12]DEC - Saarland                      2017            0.285 0.528  
 761 de17h [13]DED - Saxony                        2017            0.300 0.167  
 762 de17h [14]DEE - Saxony-Anhalt                 2017            0.327 0.175  
 763 de17h [15]DEF - Schleswig-Holstein            2017            0.251 0.366  
 764 de17h [16]DEG - Thuringia                     2017            0.310 0.181  
 765 de17h [1]DE1 - Baden-Wuerttemberg             2017            0.248 0.368  
 766 de17h [2]DE2 - Bavaria                        2017            0.259 0.305  
 767 de17h [3]DE3 - Berlin                         2017            0.291 0.358  
 768 de17h [4]DE4 - Brandenburg                    2017            0.320 0.247  
 769 de17h [5]DE5 - Bremen                         2017            0.307 0.493  
 770 de17h [6]DE6 - Hamburg                        2017            0.265 0.358  
 771 de17h [7]DE7 - Hesse                          2017            0.292 0.414  
 772 de17h [8]DE8 - Mecklenburg-Western Pomerania  2017            0.329 0.154  
 773 de17h [9]DE9 - Lower Saxony                   2017            0.278 0.348  
 774 de18h [10]DEA - North Rhine-Westphalia        2018            0.240 0.349  
 775 de18h [11]DEB - Rhineland-Palatinate          2018            0.235 0.332  
 776 de18h [12]DEC - Saarland                      2018            0.236 0.437  
 777 de18h [13]DED - Saxony                        2018            0.246 0.152  
 778 de18h [14]DEE - Saxony-Anhalt                 2018            0.298 0.172  
 779 de18h [15]DEF - Schleswig-Holstein            2018            0.233 0.307  
 780 de18h [16]DEG - Thuringia                     2018            0.265 0.171  
 781 de18h [1]DE1 - Baden-Wuerttemberg             2018            0.208 0.328  
 782 de18h [2]DE2 - Bavaria                        2018            0.207 0.280  
 783 de18h [3]DE3 - Berlin                         2018            0.234 0.302  
 784 de18h [4]DE4 - Brandenburg                    2018            0.275 0.213  
 785 de18h [5]DE5 - Bremen                         2018            0.308 0.490  
 786 de18h [6]DE6 - Hamburg                        2018            0.247 0.302  
 787 de18h [7]DE7 - Hesse                          2018            0.214 0.361  
 788 de18h [8]DE8 - Mecklenburg-Western Pomerania  2018            0.285 0.137  
 789 de18h [9]DE9 - Lower Saxony                   2018            0.235 0.297  
 790 de18h <NA>                                    2018            0.231 0.0627 
 791 de19h [10]DEA - North Rhine-Westphalia        2019            0.235 0.429  
 792 de19h [11]DEB - Rhineland-Palatinate          2019            0.241 0.366  
 793 de19h [12]DEC - Saarland                      2019            0.219 0.530  
 794 de19h [13]DED - Saxony                        2019            0.261 0.147  
 795 de19h [14]DEE - Saxony-Anhalt                 2019            0.291 0.189  
 796 de19h [15]DEF - Schleswig-Holstein            2019            0.220 0.338  
 797 de19h [16]DEG - Thuringia                     2019            0.267 0.224  
 798 de19h [1]DE1 - Baden-Wuerttemberg             2019            0.209 0.370  
 799 de19h [2]DE2 - Bavaria                        2019            0.189 0.350  
 800 de19h [3]DE3 - Berlin                         2019            0.214 0.402  
 801 de19h [4]DE4 - Brandenburg                    2019            0.280 0.258  
 802 de19h [5]DE5 - Bremen                         2019            0.283 0.512  
 803 de19h [6]DE6 - Hamburg                        2019            0.223 0.345  
 804 de19h [7]DE7 - Hesse                          2019            0.219 0.406  
 805 de19h [8]DE8 - Mecklenburg-Western Pomerania  2019            0.3   0.192  
 806 de19h [9]DE9 - Lower Saxony                   2019            0.241 0.365  
 807 de89h [10]DEA - North Rhine-Westphalia        1989            0.315 0.298  
 808 de89h [11]DEB - Rhineland-Palatinate          1989            0.358 0.204  
 809 de89h [12]DEC - Saarland                      1989            0.353 0.188  
 810 de89h [15]DEF - Schleswig-Holstein            1989            0.301 0.125  
 811 de89h [1]DE1 - Baden-Wuerttemberg             1989            0.248 0.421  
 812 de89h [2]DE2 - Bavaria                        1989            0.279 0.250  
 813 de89h [3]DE3 - Berlin                         1989            0.294 0.375  
 814 de89h [5]DE5 - Bremen                         1989            0.446 0.185  
 815 de89h [6]DE6 - Hamburg                        1989            0.330 0.326  
 816 de89h [7]DE7 - Hesse                          1989            0.297 0.409  
 817 de89h [9]DE9 - Lower Saxony                   1989            0.342 0.173  
 818 de90h [10]DEA - North Rhine-Westphalia        1990            0.305 0.297  
 819 de90h [11]DEB - Rhineland-Palatinate          1990            0.322 0.199  
 820 de90h [12]DEC - Saarland                      1990            0.366 0.199  
 821 de90h [15]DEF - Schleswig-Holstein            1990            0.284 0.123  
 822 de90h [1]DE1 - Baden-Wuerttemberg             1990            0.240 0.426  
 823 de90h [2]DE2 - Bavaria                        1990            0.272 0.250  
 824 de90h [3]DE3 - Berlin                         1990            0.305 0.372  
 825 de90h [5]DE5 - Bremen                         1990            0.453 0.171  
 826 de90h [6]DE6 - Hamburg                        1990            0.314 0.285  
 827 de90h [7]DE7 - Hesse                          1990            0.280 0.413  
 828 de90h [9]DE9 - Lower Saxony                   1990            0.327 0.174  
 829 de91h [10]DEA - North Rhine-Westphalia        1991            0.305 0.291  
 830 de91h [11]DEB - Rhineland-Palatinate          1991            0.328 0.185  
 831 de91h [12]DEC - Saarland                      1991            0.414 0.210  
