     file  region                                  year im_ratio ed_ratio
 446 be08h [3]Walloon Region                       2008    1.17     0.622
 447 be09h [1]Brussels Capital Region              2009    1.22     0.577
 448 be09h [2]Flemish Region                       2009    1.21     0.604
 449 be09h [3]Walloon Region                       2009    1.19     0.632
 450 be10h [1]Brussels Capital Region              2010    1.13     0.540
 451 be10h [2]Flemish Region                       2010    1.24     0.591
 452 be10h [3]Walloon Region                       2010    1.18     0.620
 453 be11h [1]Brussels Capital Region              2011    1.14     0.537
 454 be11h [2]Flemish Region                       2011    1.21     0.602
 455 be11h [3]Walloon Region                       2011    1.13     0.622
 456 be12h [1]Brussels Capital Region              2012    1.11     0.566
 457 be12h [2]Flemish Region                       2012    1.11     0.585
 458 be12h [3]Walloon Region                       2012    1.11     0.601
 459 be13h [1]Brussels Capital Region              2013    1.00     0.515
 460 be13h [2]Flemish Region                       2013    1.23     0.573
 461 be13h [3]Walloon Region                       2013    1.16     0.573
 462 be14h [1]Brussels Capital Region              2014    1.01     0.561
 463 be14h [2]Flemish Region                       2014    1.20     0.598
 464 be14h [3]Walloon Region                       2014    1.19     0.595
 465 be15h [1]Brussels Capital Region              2015    1.04     0.562
 466 be15h [2]Flemish Region                       2015    1.24     0.600
 467 be15h [3]Walloon Region                       2015    1.20     0.619
 468 be16h [1]Brussels Capital Region              2016    1.06     0.578
 469 be16h [2]Flemish Region                       2016    1.18     0.595
 470 be16h [3]Walloon Region                       2016    1.15     0.642
 471 be17h [1]Brussels Capital Region              2017    1.11     0.633
 472 be17h [2]Flemish Region                       2017    1.28     0.612
 473 be17h [3]Walloon Region                       2017    1.16     0.636
 474 be88h [1]Brussels Capital Region              1988    1.23     0.840
 475 be88h [2]Flemish Region                       1988    1.02     0.690
 476 be88h [3]Walloon Region                       1988    1.07     0.676
 477 be92h [1]Brussels Capital Region              1992   NA        0.706
 478 be92h [2]Flemish Region                       1992   NA        0.651
 479 be92h [3]Walloon Region                       1992   NA        0.667
 480 be95h [1]Brussels Capital Region              1995   NA       NA    
 481 be95h [2]Flemish Region                       1995   NA       NA    
 482 be95h [3]Walloon Region                       1995   NA       NA    
 483 be97h [1]Brussels Capital Region              1997    1.36     0.563
 484 be97h [2]Flemish Region                       1997    1.26     0.593
 485 be97h [3]Walloon Region                       1997    1.14     0.612
 486 de00h [1]DE1 - Baden-Wuerttemberg             2000    1.23     0.717
 487 de00h [10]DEA - North Rhine-Westphalia        2000    1.30     0.674
 488 de00h [11]DEB - Rhineland-Palatinate          2000    1.17     0.656
 489 de00h [12]DEC - Saarland                      2000    1.11     0.737
 490 de00h [13]DED - Saxony                        2000    1.07     0.707
 491 de00h [14]DEE - Saxony-Anhalt                 2000    1.17     0.757
 492 de00h [15]DEF - Schleswig-Holstein            2000    1.29     0.533
 493 de00h [16]DEG - Thuringia                     2000    1.29     0.784
 494 de00h [2]DE2 - Bavaria                        2000    1.17     0.717
 495 de00h [3]DE3 - Berlin                         2000    1.52     0.790
 496 de00h [4]DE4 - Brandenburg                    2000    1.17     0.757
 497 de00h [5]DE5 - Bremen                         2000    0.841    0.940
 498 de00h [6]DE6 - Hamburg                        2000    1.41     0.561
 499 de00h [7]DE7 - Hesse                          2000    1.30     0.508
 500 de00h [8]DE8 - Mecklenburg-Western Pomerania  2000    1.18     0.646
 501 de00h [9]DE9 - Lower Saxony                   2000    1.31     0.655
 502 de01h [1]DE1 - Baden-Wuerttemberg             2001    1.24     0.659
 503 de01h [10]DEA - North Rhine-Westphalia        2001    1.26     0.634
 504 de01h [11]DEB - Rhineland-Palatinate          2001    1.03     0.636
 505 de01h [12]DEC - Saarland                      2001    1.11     0.707
 506 de01h [13]DED - Saxony                        2001    1.13     0.790
 507 de01h [14]DEE - Saxony-Anhalt                 2001    1.20     0.700
 508 de01h [15]DEF - Schleswig-Holstein            2001    1.19     0.583
 509 de01h [16]DEG - Thuringia                     2001    1.49     0.749
 510 de01h [2]DE2 - Bavaria                        2001    1.17     0.614
 511 de01h [3]DE3 - Berlin                         2001    1.26     0.833
 512 de01h [4]DE4 - Brandenburg                    2001    1.12     0.744
 513 de01h [5]DE5 - Bremen                         2001    1.08     0.570
 514 de01h [6]DE6 - Hamburg                        2001    1.32     0.609
 515 de01h [7]DE7 - Hesse                          2001    1.28     0.520
 516 de01h [8]DE8 - Mecklenburg-Western Pomerania  2001    1.23     0.688
 517 de01h [9]DE9 - Lower Saxony                   2001    1.41     0.595
 518 de02h [1]DE1 - Baden-Wuerttemberg             2002    1.27     0.685
 519 de02h [10]DEA - North Rhine-Westphalia        2002    1.31     0.615
 520 de02h [11]DEB - Rhineland-Palatinate          2002    0.949    0.636
 521 de02h [12]DEC - Saarland                      2002    1.19     0.692
 522 de02h [13]DED - Saxony                        2002    1.05     0.810
 523 de02h [14]DEE - Saxony-Anhalt                 2002    1.09     0.755
 524 de02h [15]DEF - Schleswig-Holstein            2002    1.15     0.618
 525 de02h [16]DEG - Thuringia                     2002    1.35     0.715
 526 de02h [2]DE2 - Bavaria                        2002    1.18     0.625
 527 de02h [3]DE3 - Berlin                         2002    1.42     0.766
 528 de02h [4]DE4 - Brandenburg                    2002    1.15     0.702
 529 de02h [5]DE5 - Bremen                         2002    1.19     0.580
 530 de02h [6]DE6 - Hamburg                        2002    1.06     0.631
 531 de02h [7]DE7 - Hesse                          2002    1.33     0.608
 532 de02h [8]DE8 - Mecklenburg-Western Pomerania  2002    1.21     0.722
 533 de02h [9]DE9 - Lower Saxony                   2002    1.36     0.629
 534 de03h [1]DE1 - Baden-Wuerttemberg             2003    1.25     0.677
 535 de03h [10]DEA - North Rhine-Westphalia        2003    1.25     0.629
 536 de03h [11]DEB - Rhineland-Palatinate          2003    1.02     0.677
 537 de03h [12]DEC - Saarland                      2003    1.23     0.724
 538 de03h [13]DED - Saxony                        2003    1.12     0.787
 539 de03h [14]DEE - Saxony-Anhalt                 2003    1.12     0.801
 540 de03h [15]DEF - Schleswig-Holstein            2003    1.29     0.591
 541 de03h [16]DEG - Thuringia                     2003    1.32     0.802
 542 de03h [2]DE2 - Bavaria                        2003    1.18     0.679
 543 de03h [3]DE3 - Berlin                         2003    1.30     0.795
 544 de03h [4]DE4 - Brandenburg                    2003    1.12     0.708
 545 de03h [5]DE5 - Bremen                         2003    1.18     0.551
 546 de03h [6]DE6 - Hamburg                        2003    1.66     0.525
 547 de03h [7]DE7 - Hesse                          2003    1.42     0.578
 548 de03h [8]DE8 - Mecklenburg-Western Pomerania  2003    1.15     0.695
 549 de03h [9]DE9 - Lower Saxony                   2003    1.35     0.614
 550 de04h [1]DE1 - Baden-Wuerttemberg             2004    1.26     0.659
 551 de04h [10]DEA - North Rhine-Westphalia        2004    1.29     0.603
 552 de04h [11]DEB - Rhineland-Palatinate          2004    1.01     0.652
 553 de04h [12]DEC - Saarland                      2004    1.31     0.730
 554 de04h [13]DED - Saxony                        2004    1.35     0.774
 555 de04h [14]DEE - Saxony-Anhalt                 2004    1.15     0.736
 556 de04h [15]DEF - Schleswig-Holstein            2004    1.11     0.542
 557 de04h [16]DEG - Thuringia                     2004    1.38     0.742
 558 de04h [2]DE2 - Bavaria                        2004    1.17     0.655
 559 de04h [3]DE3 - Berlin                         2004    1.33     0.755
 560 de04h [4]DE4 - Brandenburg                    2004    1.20     0.660
 561 de04h [5]DE5 - Bremen                         2004    1.32     0.608
 562 de04h [6]DE6 - Hamburg                        2004    1.44     0.721
 563 de04h [7]DE7 - Hesse                          2004    1.45     0.581
 564 de04h [8]DE8 - Mecklenburg-Western Pomerania  2004    1.05     0.698
 565 de04h [9]DE9 - Lower Saxony                   2004    1.30     0.626
 566 de05h [1]DE1 - Baden-Wuerttemberg             2005    1.31     0.672
 567 de05h [10]DEA - North Rhine-Westphalia        2005    1.33     0.579
 568 de05h [11]DEB - Rhineland-Palatinate          2005    1.04     0.614
 569 de05h [12]DEC - Saarland                      2005    1.40     0.646
 570 de05h [13]DED - Saxony                        2005    1.30     0.861
 571 de05h [14]DEE - Saxony-Anhalt                 2005    1.18     0.736
 572 de05h [15]DEF - Schleswig-Holstein            2005    1.20     0.532
 573 de05h [16]DEG - Thuringia                     2005    1.38     0.686
 574 de05h [2]DE2 - Bavaria                        2005    1.20     0.649
 575 de05h [3]DE3 - Berlin                         2005    1.29     0.685
 576 de05h [4]DE4 - Brandenburg                    2005    1.46     0.699
 577 de05h [5]DE5 - Bremen                         2005    1.56     0.546
 578 de05h [6]DE6 - Hamburg                        2005    1.72     0.619
 579 de05h [7]DE7 - Hesse                          2005    1.33     0.520
 580 de05h [8]DE8 - Mecklenburg-Western Pomerania  2005    0.989    0.748
 581 de05h [9]DE9 - Lower Saxony                   2005    1.31     0.570
 582 de06h [1]DE1 - Baden-Wuerttemberg             2006    1.29     0.639
 583 de06h [10]DEA - North Rhine-Westphalia        2006    1.33     0.575
 584 de06h [11]DEB - Rhineland-Palatinate          2006    1.07     0.644
 585 de06h [12]DEC - Saarland                      2006    1.16     0.816
 586 de06h [13]DED - Saxony                        2006    1.26     0.817
 587 de06h [14]DEE - Saxony-Anhalt                 2006    1.12     0.775
 588 de06h [15]DEF - Schleswig-Holstein            2006    1.17     0.525
 589 de06h [16]DEG - Thuringia                     2006    1.33     0.747
 590 de06h [2]DE2 - Bavaria                        2006    1.19     0.641
 591 de06h [3]DE3 - Berlin                         2006    1.26     0.782
 592 de06h [4]DE4 - Brandenburg                    2006    1.18     0.716
 593 de06h [5]DE5 - Bremen                         2006    1.82     0.552
 594 de06h [6]DE6 - Hamburg                        2006    1.71     0.674
 595 de06h [7]DE7 - Hesse                          2006    1.30     0.538
 596 de06h [8]DE8 - Mecklenburg-Western Pomerania  2006    1.25     0.726
 597 de06h [9]DE9 - Lower Saxony                   2006    1.25     0.591
 598 de07h [1]DE1 - Baden-Wuerttemberg             2007    1.33     0.614
 599 de07h [10]DEA - North Rhine-Westphalia        2007    1.36     0.579
 600 de07h [11]DEB - Rhineland-Palatinate          2007    1.03     0.653
 601 de07h [12]DEC - Saarland                      2007    1.41     0.762
 602 de07h [13]DED - Saxony                        2007    1.10     0.838
 603 de07h [14]DEE - Saxony-Anhalt                 2007    1.04     0.920
 604 de07h [15]DEF - Schleswig-Holstein            2007    1.16     0.568
 605 de07h [16]DEG - Thuringia                     2007    1.38     0.743
 606 de07h [2]DE2 - Bavaria                        2007    1.20     0.632
 607 de07h [3]DE3 - Berlin                         2007    1.31     0.693
 608 de07h [4]DE4 - Brandenburg                    2007    1.06     0.666
 609 de07h [5]DE5 - Bremen                         2007    1.76     0.584
 610 de07h [6]DE6 - Hamburg                        2007    1.41     0.692
 611 de07h [7]DE7 - Hesse                          2007    1.29     0.541
 612 de07h [8]DE8 - Mecklenburg-Western Pomerania  2007    1.09     0.650
 613 de07h [9]DE9 - Lower Saxony                   2007    1.26     0.581
 614 de08h [1]DE1 - Baden-Wuerttemberg             2008    1.32     0.632
 615 de08h [10]DEA - North Rhine-Westphalia        2008    1.31     0.566
 616 de08h [11]DEB - Rhineland-Palatinate          2008    1.15     0.695
 617 de08h [12]DEC - Saarland                      2008    1.26     0.713
 618 de08h [13]DED - Saxony                        2008    1.19     0.736
 619 de08h [14]DEE - Saxony-Anhalt                 2008    1.12     0.868
 620 de08h [15]DEF - Schleswig-Holstein            2008    1.23     0.611
 621 de08h [16]DEG - Thuringia                     2008    1.37     0.724
 622 de08h [2]DE2 - Bavaria                        2008    1.24     0.644
 623 de08h [3]DE3 - Berlin                         2008    1.18     0.769
 624 de08h [4]DE4 - Brandenburg                    2008    1.17     0.631
 625 de08h [5]DE5 - Bremen                         2008    2.27     0.666
 626 de08h [6]DE6 - Hamburg                        2008    1.30     0.574
 627 de08h [7]DE7 - Hesse                          2008    1.35     0.533
 628 de08h [8]DE8 - Mecklenburg-Western Pomerania  2008    1.10     0.547
 629 de08h [9]DE9 - Lower Saxony                   2008    1.20     0.562
 630 de09h [1]DE1 - Baden-Wuerttemberg             2009    1.29     0.662
 631 de09h [10]DEA - North Rhine-Westphalia        2009    1.24     0.580
 632 de09h [11]DEB - Rhineland-Palatinate          2009    1.08     0.698
 633 de09h [12]DEC - Saarland                      2009    1.23     0.780
 634 de09h [13]DED - Saxony                        2009    1.20     0.762
 635 de09h [14]DEE - Saxony-Anhalt                 2009    1.23     0.589
 636 de09h [15]DEF - Schleswig-Holstein            2009    1.20     0.615
 637 de09h [16]DEG - Thuringia                     2009    1.41     0.619
 638 de09h [2]DE2 - Bavaria                        2009    1.17     0.668
 639 de09h [3]DE3 - Berlin                         2009    1.20     0.701
 640 de09h [4]DE4 - Brandenburg                    2009    1.57     0.655
 641 de09h [5]DE5 - Bremen                         2009    1.56     0.599
 642 de09h [6]DE6 - Hamburg                        2009    1.64     0.541
 643 de09h [7]DE7 - Hesse                          2009    1.30     0.511
 644 de09h [8]DE8 - Mecklenburg-Western Pomerania  2009    0.884    0.518
 645 de09h [9]DE9 - Lower Saxony                   2009    1.18     0.568
 646 de10h [1]DE1 - Baden-Wuerttemberg             2010    1.23     0.636
 647 de10h [10]DEA - North Rhine-Westphalia        2010    1.21     0.588
 648 de10h [11]DEB - Rhineland-Palatinate          2010    1.04     0.744
 649 de10h [12]DEC - Saarland                      2010    1.36     0.793
 650 de10h [13]DED - Saxony                        2010    1.20     0.760
 651 de10h [14]DEE - Saxony-Anhalt                 2010    1.07     0.656
 652 de10h [15]DEF - Schleswig-Holstein            2010    1.24     0.590
 653 de10h [16]DEG - Thuringia                     2010    1.51     0.587
 654 de10h [2]DE2 - Bavaria                        2010    1.19     0.641
 655 de10h [3]DE3 - Berlin                         2010    1.22     0.723
 656 de10h [4]DE4 - Brandenburg                    2010    1.64     0.638
 657 de10h [5]DE5 - Bremen                         2010    1.34     0.678
 658 de10h [6]DE6 - Hamburg                        2010    1.46     0.557
 659 de10h [7]DE7 - Hesse                          2010    1.30     0.547
 660 de10h [8]DE8 - Mecklenburg-Western Pomerania  2010    0.978    0.667
 661 de10h [9]DE9 - Lower Saxony                   2010    1.19     0.603
 662 de11h [1]DE1 - Baden-Wuerttemberg             2011    1.22     0.665
 663 de11h [10]DEA - North Rhine-Westphalia        2011    1.25     0.616
 664 de11h [11]DEB - Rhineland-Palatinate          2011    1.01     0.687
 665 de11h [12]DEC - Saarland                      2011    1.33     0.876
 666 de11h [13]DED - Saxony                        2011    1.20     0.787
 667 de11h [14]DEE - Saxony-Anhalt                 2011    1.18     0.573
 668 de11h [15]DEF - Schleswig-Holstein            2011    1.10     0.624
 669 de11h [16]DEG - Thuringia                     2011    1.55     0.596
 670 de11h [2]DE2 - Bavaria                        2011    1.17     0.636
 671 de11h [3]DE3 - Berlin                         2011    1.20     0.703
 672 de11h [4]DE4 - Brandenburg                    2011    1.50     0.497
 673 de11h [5]DE5 - Bremen                         2011    1.04     0.563
 674 de11h [6]DE6 - Hamburg                        2011    1.56     0.531
 675 de11h [7]DE7 - Hesse                          2011    1.28     0.531
 676 de11h [8]DE8 - Mecklenburg-Western Pomerania  2011    0.992    0.652
 677 de11h [9]DE9 - Lower Saxony                   2011    1.15     0.623
 678 de12h [1]DE1 - Baden-Wuerttemberg             2012    1.28     0.642
 679 de12h [10]DEA - North Rhine-Westphalia        2012    1.33     0.611
 680 de12h [11]DEB - Rhineland-Palatinate          2012    1.06     0.696
 681 de12h [12]DEC - Saarland                      2012    1.35     0.806
 682 de12h [13]DED - Saxony                        2012    1.26     0.767
 683 de12h [14]DEE - Saxony-Anhalt                 2012    1.50     0.683
 684 de12h [15]DEF - Schleswig-Holstein            2012    1.33     0.634
 685 de12h [16]DEG - Thuringia                     2012    1.27     0.573
 686 de12h [2]DE2 - Bavaria                        2012    1.20     0.596
 687 de12h [3]DE3 - Berlin                         2012    1.39     0.689
 688 de12h [4]DE4 - Brandenburg                    2012    1.34     0.509
 689 de12h [5]DE5 - Bremen                         2012    1.14     0.660
 690 de12h [6]DE6 - Hamburg                        2012    1.36     0.590
 691 de12h [7]DE7 - Hesse                          2012    1.43     0.551
 692 de12h [8]DE8 - Mecklenburg-Western Pomerania  2012    1.10     0.606
 693 de12h [9]DE9 - Lower Saxony                   2012    1.25     0.618
 694 de13h [1]DE1 - Baden-Wuerttemberg             2013    1.25     0.659
 695 de13h [10]DEA - North Rhine-Westphalia        2013    1.29     0.603
 696 de13h [11]DEB - Rhineland-Palatinate          2013    0.966    0.708
 697 de13h [12]DEC - Saarland                      2013    1.31     0.602
 698 de13h [13]DED - Saxony                        2013    1.03     0.798
 699 de13h [14]DEE - Saxony-Anhalt                 2013    1.30     0.701
 700 de13h [15]DEF - Schleswig-Holstein            2013    1.26     0.738
 701 de13h [16]DEG - Thuringia                     2013    1.52     0.522
 702 de13h [2]DE2 - Bavaria                        2013    1.21     0.590
 703 de13h [3]DE3 - Berlin                         2013    1.29     0.706
 704 de13h [4]DE4 - Brandenburg                    2013    1.42     0.517
 705 de13h [5]DE5 - Bremen                         2013    1.09     1.08 
 706 de13h [6]DE6 - Hamburg                        2013    1.41     0.590
 707 de13h [7]DE7 - Hesse                          2013    1.36     0.576
 708 de13h [8]DE8 - Mecklenburg-Western Pomerania  2013    0.968    0.648
 709 de13h [9]DE9 - Lower Saxony                   2013    1.30     0.635
 710 de14h [1]DE1 - Baden-Wuerttemberg             2014    1.24     0.673
 711 de14h [10]DEA - North Rhine-Westphalia        2014    1.35     0.580
 712 de14h [11]DEB - Rhineland-Palatinate          2014    1.22     0.608
 713 de14h [12]DEC - Saarland                      2014    1.27     0.672
 714 de14h [13]DED - Saxony                        2014    1.03     0.895
 715 de14h [14]DEE - Saxony-Anhalt                 2014    1.28     0.632
 716 de14h [15]DEF - Schleswig-Holstein            2014    1.42     0.720
 717 de14h [16]DEG - Thuringia                     2014    1.53     0.577
 718 de14h [2]DE2 - Bavaria                        2014    1.19     0.592
 719 de14h [3]DE3 - Berlin                         2014    1.24     0.696
 720 de14h [4]DE4 - Brandenburg                    2014    1.40     0.511
 721 de14h [5]DE5 - Bremen                         2014    1.26     0.910
 722 de14h [6]DE6 - Hamburg                        2014    1.39     0.478
 723 de14h [7]DE7 - Hesse                          2014    1.35     0.504
 724 de14h [8]DE8 - Mecklenburg-Western Pomerania  2014    1.09     0.626
 725 de14h [9]DE9 - Lower Saxony                   2014    1.35     0.608
 726 de15h [1]DE1 - Baden-Wuerttemberg             2015    1.29     0.660
 727 de15h [10]DEA - North Rhine-Westphalia        2015    1.33     0.622
 728 de15h [11]DEB - Rhineland-Palatinate          2015    1.19     0.626
 729 de15h [12]DEC - Saarland                      2015    1.28     0.613
 730 de15h [13]DED - Saxony                        2015    1.05     0.841
 731 de15h [14]DEE - Saxony-Anhalt                 2015    1.24     0.666
 732 de15h [15]DEF - Schleswig-Holstein            2015    1.25     0.720
 733 de15h [16]DEG - Thuringia                     2015    1.41     0.626
 734 de15h [2]DE2 - Bavaria                        2015    1.15     0.581
 735 de15h [3]DE3 - Berlin                         2015    1.15     0.867
 736 de15h [4]DE4 - Brandenburg                    2015    1.39     0.591
 737 de15h [5]DE5 - Bremen                         2015    1.30     0.814
 738 de15h [6]DE6 - Hamburg                        2015    1.29     0.634
 739 de15h [7]DE7 - Hesse                          2015    1.37     0.522
 740 de15h [8]DE8 - Mecklenburg-Western Pomerania  2015    0.957    0.683
 741 de15h [9]DE9 - Lower Saxony                   2015    1.29     0.626
 742 de16h [1]DE1 - Baden-Wuerttemberg             2016    1.32     0.637
 743 de16h [10]DEA - North Rhine-Westphalia        2016    1.30     0.608
 744 de16h [11]DEB - Rhineland-Palatinate          2016    1.24     0.625
 745 de16h [12]DEC - Saarland                      2016    1.32     0.659
 746 de16h [13]DED - Saxony                        2016    1.09     0.841
 747 de16h [14]DEE - Saxony-Anhalt                 2016    1.43     0.679
 748 de16h [15]DEF - Schleswig-Holstein            2016    1.23     0.625
 749 de16h [16]DEG - Thuringia                     2016    1.46     0.655
 750 de16h [2]DE2 - Bavaria                        2016    1.18     0.604
 751 de16h [3]DE3 - Berlin                         2016    1.27     0.809
 752 de16h [4]DE4 - Brandenburg                    2016    1.61     0.520
 753 de16h [5]DE5 - Bremen                         2016    1.36     0.791
 754 de16h [6]DE6 - Hamburg                        2016    1.34     0.550
 755 de16h [7]DE7 - Hesse                          2016    1.35     0.562
 756 de16h [8]DE8 - Mecklenburg-Western Pomerania  2016    1.05     0.684
 757 de16h [9]DE9 - Lower Saxony                   2016    1.38     0.598
 758 de17h [1]DE1 - Baden-Wuerttemberg             2017    1.26     0.670
 759 de17h [10]DEA - North Rhine-Westphalia        2017    1.31     0.612
 760 de17h [11]DEB - Rhineland-Palatinate          2017    1.24     0.632
 761 de17h [12]DEC - Saarland                      2017    1.24     0.632
 762 de17h [13]DED - Saxony                        2017    1.02     0.796
 763 de17h [14]DEE - Saxony-Anhalt                 2017    1.14     0.750
 764 de17h [15]DEF - Schleswig-Holstein            2017    1.27     0.581
 765 de17h [16]DEG - Thuringia                     2017    1.49     0.729
 766 de17h [2]DE2 - Bavaria                        2017    1.16     0.591
 767 de17h [3]DE3 - Berlin                         2017    1.31     0.785
 768 de17h [4]DE4 - Brandenburg                    2017    1.49     0.520
 769 de17h [5]DE5 - Bremen                         2017    1.56     0.592
 770 de17h [6]DE6 - Hamburg                        2017    1.31     0.611
 771 de17h [7]DE7 - Hesse                          2017    1.35     0.576
 772 de17h [8]DE8 - Mecklenburg-Western Pomerania  2017    1.23     0.633
 773 de17h [9]DE9 - Lower Saxony                   2017    1.46     0.586
 774 de18h [1]DE1 - Baden-Wuerttemberg             2018    1.30     0.645
 775 de18h [10]DEA - North Rhine-Westphalia        2018    1.26     0.619
 776 de18h [11]DEB - Rhineland-Palatinate          2018    1.39     0.590
 777 de18h [12]DEC - Saarland                      2018    1.44     0.540
 778 de18h [13]DED - Saxony                        2018    1.07     0.782
 779 de18h [14]DEE - Saxony-Anhalt                 2018    1.24     0.655
 780 de18h [15]DEF - Schleswig-Holstein            2018    1.43     0.614
 781 de18h [16]DEG - Thuringia                     2018    1.45     0.650
 782 de18h [2]DE2 - Bavaria                        2018    1.17     0.615
 783 de18h [3]DE3 - Berlin                         2018    1.23     0.807
 784 de18h [4]DE4 - Brandenburg                    2018    1.50     0.575
 785 de18h [5]DE5 - Bremen                         2018    1.31     0.820
 786 de18h [6]DE6 - Hamburg                        2018    1.22     0.605
 787 de18h [7]DE7 - Hesse                          2018    1.39     0.591
 788 de18h [8]DE8 - Mecklenburg-Western Pomerania  2018    1.30     0.742
 789 de18h [9]DE9 - Lower Saxony                   2018    1.34     0.627
 790 de18h <NA>                                    2018    0.763    0.562
 791 de19h [1]DE1 - Baden-Wuerttemberg             2019    1.28     0.668
 792 de19h [10]DEA - North Rhine-Westphalia        2019    1.21     0.614
 793 de19h [11]DEB - Rhineland-Palatinate          2019    1.26     0.626
 794 de19h [12]DEC - Saarland                      2019    1.54     0.524
 795 de19h [13]DED - Saxony                        2019    1.13     0.855
 796 de19h [14]DEE - Saxony-Anhalt                 2019    1.36     0.778
 797 de19h [15]DEF - Schleswig-Holstein            2019    1.39     0.585
 798 de19h [16]DEG - Thuringia                     2019    1.34     0.671
 799 de19h [2]DE2 - Bavaria                        2019    1.15     0.680
 800 de19h [3]DE3 - Berlin                         2019    1.24     0.858
 801 de19h [4]DE4 - Brandenburg                    2019    1.50     0.710
 802 de19h [5]DE5 - Bremen                         2019    1.47     0.713
 803 de19h [6]DE6 - Hamburg                        2019    1.37     0.586
 804 de19h [7]DE7 - Hesse                          2019    1.37     0.578
 805 de19h [8]DE8 - Mecklenburg-Western Pomerania  2019    0.946    0.691
 806 de19h [9]DE9 - Lower Saxony                   2019    1.42     0.660
 807 de89h [1]DE1 - Baden-Wuerttemberg             1989    1.14     0.680
 808 de89h [10]DEA - North Rhine-Westphalia        1989    1.15     0.610
 809 de89h [11]DEB - Rhineland-Palatinate          1989    1.04     0.501
 810 de89h [12]DEC - Saarland                      1989    1.34     0.438
 811 de89h [15]DEF - Schleswig-Holstein            1989    1.06     0.622
 812 de89h [2]DE2 - Bavaria                        1989    1.06     0.721
 813 de89h [3]DE3 - Berlin                         1989    1.25     0.764
 814 de89h [5]DE5 - Bremen                         1989    1.30     0.366
 815 de89h [6]DE6 - Hamburg                        1989    1.29     0.751
 816 de89h [7]DE7 - Hesse                          1989    1.25     0.710
 817 de89h [9]DE9 - Lower Saxony                   1989    1.11     0.665
 818 de90h [1]DE1 - Baden-Wuerttemberg             1990    1.13     0.698
 819 de90h [10]DEA - North Rhine-Westphalia        1990    1.19     0.617
 820 de90h [11]DEB - Rhineland-Palatinate          1990    1.05     0.726
 821 de90h [12]DEC - Saarland                      1990    1.02     0.627
 822 de90h [15]DEF - Schleswig-Holstein            1990    1.10     0.601
 823 de90h [2]DE2 - Bavaria                        1990    1.02     0.756
 824 de90h [3]DE3 - Berlin                         1990    1.45     0.723
 825 de90h [5]DE5 - Bremen                         1990    0.984    0.329
 826 de90h [6]DE6 - Hamburg                        1990    1.27     0.683
 827 de90h [7]DE7 - Hesse                          1990    1.27     0.684
 828 de90h [9]DE9 - Lower Saxony                   1990    1.12     0.643
 829 de91h [1]DE1 - Baden-Wuerttemberg             1991    1.16     0.622
 830 de91h [10]DEA - North Rhine-Westphalia        1991    1.14     0.637
 831 de91h [11]DEB - Rhineland-Palatinate          1991    1.13     0.716
 832 de91h [12]DEC - Saarland                      1991    1.00     0.751
 833 de91h [13]DED - Saxony                        1991    0.950    0.658
 834 de91h [14]DEE - Saxony-Anhalt                 1991    1.32     0.732
 835 de91h [15]DEF - Schleswig-Holstein            1991    1.04     0.659
 836 de91h [16]DEG - Thuringia                     1991    1.21     0.753
 837 de91h [2]DE2 - Bavaria                        1991    1.06     0.755
 838 de91h [3]DE3 - Berlin                         1991    1.12     0.817
 839 de91h [4]DE4 - Brandenburg                    1991    1.06     0.726
 840 de91h [5]DE5 - Bremen                         1991    0.807    0.514
 841 de91h [6]DE6 - Hamburg                        1991    1.18     0.676
 842 de91h [7]DE7 - Hesse                          1991    1.21     0.682
 843 de91h [8]DE8 - Mecklenburg-Western Pomerania  1991    0.954    0.741
 844 de91h [9]DE9 - Lower Saxony                   1991    1.15     0.609
 845 de91h <NA>                                    1991    1.63     0.497
 846 de92h [1]DE1 - Baden-Wuerttemberg             1992    1.11     0.665
 847 de92h [10]DEA - North Rhine-Westphalia        1992    1.13     0.605
 848 de92h [11]DEB - Rhineland-Palatinate          1992    1.12     0.607
 849 de92h [12]DEC - Saarland                      1992    1.10     0.754
 850 de92h [13]DED - Saxony                        1992    1.03     0.655
 851 de92h [14]DEE - Saxony-Anhalt                 1992    1.22     0.693
 852 de92h [15]DEF - Schleswig-Holstein            1992    1.01     0.621
 853 de92h [16]DEG - Thuringia                     1992    1.18     0.773
 854 de92h [2]DE2 - Bavaria                        1992    1.02     0.721
 855 de92h [3]DE3 - Berlin                         1992    1.23     0.823
 856 de92h [4]DE4 - Brandenburg                    1992    1.14     0.731
 857 de92h [5]DE5 - Bremen                         1992    0.753    0.546
 858 de92h [6]DE6 - Hamburg                        1992    1.27     0.794
 859 de92h [7]DE7 - Hesse                          1992    1.25     0.616
 860 de92h [8]DE8 - Mecklenburg-Western Pomerania  1992    1.01     0.654
 861 de92h [9]DE9 - Lower Saxony                   1992    1.11     0.580
 862 de93h [1]DE1 - Baden-Wuerttemberg             1993    1.11     0.676
 863 de93h [10]DEA - North Rhine-Westphalia        1993    1.10     0.592
 864 de93h [11]DEB - Rhineland-Palatinate          1993    1.09     0.648
 865 de93h [12]DEC - Saarland                      1993    1.19     0.692
 866 de93h [13]DED - Saxony                        1993    1.03     0.659
 867 de93h [14]DEE - Saxony-Anhalt                 1993    1.12     0.619
 868 de93h [15]DEF - Schleswig-Holstein            1993    1.05     0.691
